name,rss_url,domain,category,tier,authority,reason
Radio - KCUR Kansas City,https://www.kcur.org/feed,kcur.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Radio - WFPL Louisville,https://wfpl.org/feed/,wfpl.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
CISA Alerts,https://www.cisa.gov/uscert/ncas/alerts.xml,cisa.gov,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
CISA News,https://www.cisa.gov/news.xml,cisa.gov,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
SecurityWeek,https://feeds.feedburner.com/securityweek,feeds.feedburner.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
APCO International,https://www.apcointl.org/feed/,apcointl.org,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
NENA 911,https://www.nena.org/feed/,nena.org,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Urgent Communications,https://urgentcomm.com/feed/,urgentcomm.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Broadcast Law Blog,https://www.broadcastlawblog.com/feed/,broadcastlawblog.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
CommLaw Blog,https://www.commlawblog.com/feed/,commlawblog.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
FierceVideo,https://www.fiercevideo.com/rss/xml,fiercevideo.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Inside Radio,https://www.insideradio.com/feed/,insideradio.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Law360 Telecom,https://www.law360.com/telecom/rss,law360.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Skadden Telecom Blog,https://www.skadden.com/insights/rss,skadden.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Wiley Telecom,https://www.wileyrein.com/rss/,wileyrein.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Covington Telecom,https://www.cov.com/en/rss,cov.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
DOJ Antitrust,https://www.justice.gov/rss/atr.xml,justice.gov,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
New America OTI,https://www.newamerica.org/feed/,newamerica.org,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Georgetown Law Tech,https://www.georgetownlawtechreview.org/feed/,georgetownlawtechreview.org,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
TheGrio Media,https://thegrio.com/feed/,thegrio.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Mediaite,https://www.mediaite.com/feed/,mediaite.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
NY Post Media,https://nypost.com/media/feed/,nypost.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Washington Examiner Media,https://www.washingtonexaminer.com/tag/media/rss,washingtonexaminer.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
